Timestamp,Do you like snow? (Answer Yes or No),What month were you born in?,What state or country did you grow up in?,Introvert or extrovert?,"Did you grow up in a rural, suburban, or urban environment?",Do you shovel snow where you currently live?,How far do you travel by car annually (best estimate on scale)?,Temple Major,Enjoy Coding?,Favorite Sport,Age
12/1/2021 12:48:17,Yes,February,Pennsylvania,4,Suburban,No,4,Environmental Science,4,Soccer,20
12/1/2021 12:50:09,Yes,May,Texas,2,Suburban,No,5,Computer Science,4,Soccer,18
12/1/2021 12:59:34,Yes,August,Pennsylvania,4,Rural,Yes,7,Biology,3,Softball,18
12/1/2021 13:00:49,Yes,August,Pennsylvania,4,Rural,Yes,8,Biology,3,Field Hockey,18
12/1/2021 13:02:24,Yes,November,Outside US,3,Urban,Yes,3,Biology,3,Soccer,20
12/1/2021 13:06:14,Yes,August,Pennsylvania,3,Suburban,Yes,3,neuroscience,1,Football,18
12/1/2021 13:06:59,Yes,September,Pennsylvania,2,Suburban,Yes,5,Biology,4,Swimming,19
12/1/2021 13:10:56,Yes,October,New Jersey,3,Suburban,Yes,5,Biology,3,Other,19
12/1/2021 13:15:32,Yes,November,Pennsylvania,2,Rural,Yes,3,Computer Science,4,Other,19
12/1/2021 13:16:32,Yes,October,Pennsylvania,4,Suburban,Yes,8,Bio,1,Swimming,18
12/1/2021 13:24:37,Yes,May,Pennsylvania,4,Suburban,Yes,3,Computer Science,5,Football,18
12/1/2021 13:29:41,Yes,December,Pennsylvania,2,Suburban,Yes,6,Pharmaceutical Science,3,Basketball,18
12/1/2021 13:48:29,Yes,August,Florida,4,Suburban,No,6,Biology ,2,Volleyball,18
12/1/2021 13:54:38,No,June,Pennsylvania,4,Urban,Yes,6,Biology,2,Gymnastics,18
12/1/2021 13:55:28,No,September,Pennsylvania,3,Suburban,No,6,Biology,2,Volleyball,19
12/1/2021 14:03:44,Yes,May,Pennsylvania,4,Suburban,Yes,2,Biology,1,Football,18
12/1/2021 14:06:03,Yes,October,New York,2,Urban,No,2,Computer Science,4,Football,18
12/1/2021 14:38:35,Yes,December,Pennsylvania,2,Suburban,Yes,4,Neuroscience Cellular & Molecular,3,Soccer,19
12/1/2021 14:45:02,No,May,Pennsylvania,5,Suburban,Yes,3,Biology,1,Basketball,18
12/1/2021 14:46:25,Yes,June,Outside US,2,Urban,No,2,Biology,2,Badminton,18
12/1/2021 14:57:36,Yes,July,Pennsylvania,3,Suburban,No,1,Computer science ,4,Basketball,18
12/1/2021 15:09:50,Yes,March,Texas,2,Suburban,Yes,4,Undeclared,2,Crew,19
12/1/2021 15:31:33,Yes,August,Pennsylvania,3,Suburban,No,4,genomic medicine ,2,Tennis,18
12/1/2021 15:51:44,Yes,December,Outside US,5,Suburban,Yes,7,bio,1,Basketball,19
12/1/2021 15:59:20,Yes,November,New York,3,Urban,Yes,3,computer science ,4,Badminton,18
12/1/2021 17:01:16,Yes,September,Pennsylvania,4,Suburban,Yes,7,Biology ,4,Soccer,18
12/1/2021 17:24:23,No,July,Pennsylvania,1,Suburban,Yes,5,Film and Media Arts,1,Golf,22
12/1/2021 18:09:43,Yes,January,Maryland,4,Suburban,No,5,Biology,2,Gymnastics,18
12/1/2021 18:38:18,No,April,Pennsylvania,3,Urban,No,6,Biochemistry,3,Soccer,18
12/1/2021 18:48:50,Yes,May,Pennsylvania,4,Urban,No,1,Neuroscience,3,Football,18
12/1/2021 19:06:42,Yes,April,Outside US,2,Rural,Yes,4,Computer science,4,Other,18
12/1/2021 19:12:08,No,July,Pennsylvania,3,Suburban,Yes,7,Biology ,5,Tennis,20
12/1/2021 19:28:55,Yes,August,Pennsylvania,4,Suburban,No,7,Biology,3,Other,18
12/1/2021 19:38:13,Yes,March,New York,2,Urban,Yes,3,Computer Science ,4,Basketball,18
12/1/2021 19:50:00,Yes,October,Pennsylvania,4,Suburban,Yes,8,Health Professions,4,Running,19
12/1/2021 20:51:54,Yes,June,Pennsylvania,2,Suburban,Yes,3,Biology,3,Badminton,18
12/1/2021 21:20:11,Yes,April,Pennsylvania,3,Suburban,Yes,5,Biology,2,Rugby,22
12/1/2021 21:22:46,Yes,March,Outside US,3,Urban,Yes,5,Biochemistry ,4,Swimming,22
12/1/2021 22:14:35,Yes,April,Maryland,1,Suburban,No,5,Computer Science,3,Other,18
12/1/2021 22:44:00,Yes,March,Delaware,3,Suburban,Yes,4,Biology,2,Football,19
12/2/2021 1:22:44,Yes,January,Maryland,4,Suburban,Yes,8,Computer science ,3,Basketball,18
12/2/2021 1:22:52,Yes,January,District of Columbia,5,Urban,Yes,6,Neuroscience,2,Fencing,18
12/2/2021 7:32:38,Yes,June,Pennsylvania,2,Suburban,Yes,2,EES,4,Soccer,20
12/2/2021 7:38:03,Yes,February,Florida,3,Suburban,No,4,Environmental Science ,2,Basketball,18
12/2/2021 8:03:32,No,April,Pennsylvania,2,Suburban,Yes,3,CST ,3,Basketball,18
12/2/2021 8:07:08,Yes,April,Pennsylvania,1,Urban,Yes,3,Computer Science,4,Golf,18
12/2/2021 8:23:39,Yes,January,New Jersey,4,Urban,No,10,Biology ,4,Football,17
12/2/2021 8:24:23,Yes,May,Texas,2,Suburban,No,5,Computer Science,5,Soccer,18
12/2/2021 8:56:29,No,March,Pennsylvania,1,Suburban,Yes,3,bio,5,Basketball,18
12/2/2021 9:18:01,No,July,Maryland,3,Suburban,Yes,7,biology,2,Lacrosse,17
12/2/2021 9:22:43,No,January,Outside US,5,Urban,No,7,Computer science ,4,Badminton,18
12/2/2021 9:26:16,Yes,November,Pennsylvania,3,Suburban,Yes,8,Biology,3,Soccer,18
12/2/2021 9:32:16,Yes,May,New Jersey,4,Suburban,No,5,Biology,3,Other,18
12/2/2021 9:32:56,Yes,March,New Jersey,5,Suburban,Yes,6,Biology,1,Volleyball,18
12/2/2021 9:33:12,No,May,New Jersey,4,Suburban,Yes,3,Genomic Medicine,1,Soccer,18
12/2/2021 10:02:04,Yes,January,Pennsylvania,4,Suburban,Yes,5,Chemistry ,2,Basketball,20
12/2/2021 10:05:31,Yes,May,Pennsylvania,4,Rural,Yes,4,Biology,3,Alpine skiing,18
12/2/2021 11:54:52,Yes,October,Pennsylvania,5,Suburban,Yes,2,COMPUTER SCIENCE ,5,Lacrosse,18
12/2/2021 17:56:19,Yes,July,Pennsylvania,5,Suburban,Yes,6,Biology,1,Basketball,18
12/3/2021 0:01:14,Yes,June,Outside US,4,Suburban,Yes,7,Biology,4,Soccer,18
