Family,Father,Mother,Gender,Height,Kids,MidParent,AdltChld
22,72,67,M,71,3,72.18,71
22,72,67,F,67,3,72.18,72.36
23,72,65,M,74.2,7,71.1,74.2
23,72,65,M,70.5,7,71.1,70.5
23,72,65,M,69.5,7,71.1,69.5
23,72,65,F,66,7,71.1,71.28
23,72,65,F,65.5,7,71.1,70.74
23,72,65,F,65,7,71.1,70.2
23,72,65,F,65,7,71.1,70.2
24,72,65.5,F,65.5,1,71.37,70.74
25,72,64,F,66,2,70.56,71.28
25,72,64,F,63,2,70.56,68.04
26,72,63,M,70.5,5,70.02,70.5
26,72,63,M,70.5,5,70.02,70.5
26,72,63,M,69,5,70.02,69
26,72,63,F,65,5,70.02,70.2
26,72,63,F,63,5,70.02,68.04
27,72,63,M,69,3,70.02,69
27,72,63,M,67,3,70.02,67
27,72,63,F,63,3,70.02,68.04
28,72,63,M,73,6,70.02,73
28,72,63,M,67,6,70.02,67
28,72,63,F,70.5,6,70.02,76.14
28,72,63,F,70,6,70.02,75.6
28,72,63,F,66.5,6,70.02,71.82
28,72,63,F,63,6,70.02,68.04
29,72.5,63.5,F,67.5,3,70.54,72.9
29,72.5,63.5,F,67.2,3,70.54,72.576
29,72.5,63.5,F,66.7,3,70.54,72.036
30,72,62,F,64,1,69.48,69.12
31,72.5,62,M,71,6,69.73,71
31,72.5,62,M,70,6,69.73,70
31,72.5,62,M,70,6,69.73,70
31,72.5,62,F,66,6,69.73,71.28
31,72.5,62,F,65,6,69.73,70.2
31,72.5,62,F,65,6,69.73,70.2
32,72,62,M,74,5,69.48,74
32,72,62,M,72,5,69.48,72
32,72,62,M,69,5,69.48,69
32,72,62,F,67.5,5,69.48,72.9
32,72,62,F,63.5,5,69.48,68.58
33,72,62,M,72,5,69.48,72
33,72,62,M,71.5,5,69.48,71.5
33,72,62,M,71.5,5,69.48,71.5
33,72,62,M,70,5,69.48,70
33,72,62,F,68,5,69.48,73.44
34,72,61,F,65.7,1,68.94,70.956
35,71,69,M,78,5,72.76,78
35,71,69,M,74,5,72.76,74
35,71,69,M,73,5,72.76,73
35,71,69,M,72,5,72.76,72
35,71,69,F,67,5,72.76,72.36
36,71,67,M,73.2,4,71.68,73.2
36,71,67,M,73,4,71.68,73
36,71,67,M,69,4,71.68,69
36,71,67,F,67,4,71.68,72.36
37,71,66,M,70,4,71.14,70
37,71,66,F,67,4,71.14,72.36
37,71,66,F,67,4,71.14,72.36
37,71,66,F,66.5,4,71.14,71.82
38,71,66,M,70,6,71.14,70
38,71,66,M,69,6,71.14,69
38,71,66,M,68.5,6,71.14,68.5
38,71,66,F,66,6,71.14,71.28
38,71,66,F,64.5,6,71.14,69.66
38,71,66,F,63,6,71.14,68.04
39,71,66,M,71,2,71.14,71
39,71,66,F,67,2,71.14,72.36
40,71,66,M,76,5,71.14,76
40,71,66,M,72,5,71.14,72
40,71,66,M,71,5,71.14,71
40,71,66,M,66,5,71.14,66
40,71,66,F,66,5,71.14,71.28
41,71.7,65.5,M,70.5,1,71.22,70.5
42,71,65.5,M,72,6,70.87,72
42,71,65.5,M,72,6,70.87,72
42,71,65.5,M,71,6,70.87,71
42,71,65.5,M,69,6,70.87,69
42,71,65.5,F,66,6,70.87,71.28
42,71,65.5,F,65,6,70.87,70.2
43,71.5,65.5,M,73,2,71.12,73
43,71.5,65.5,F,65.2,2,71.12,70.416
44,71.5,65,M,68.5,2,70.85,68.5
44,71.5,65,M,67.7,2,70.85,67.7
45,71,65,M,68,3,70.6,68
45,71,65,M,68,3,70.6,68
45,71,65,F,62,3,70.6,66.96
46,71,64,F,68,8,70.06,73.44
46,71,64,F,68,8,70.06,73.44
46,71,64,F,67.5,8,70.06,72.9
46,71,64,F,66.5,8,70.06,71.82
46,71,64,F,66.5,8,70.06,71.82
46,71,64,F,66,8,70.06,71.28
46,71,64,F,65.5,8,70.06,70.74
46,71,64,F,65,8,70.06,70.2
47,71.7,64.5,M,72,4,70.68,72
47,71.7,64.5,M,71,4,70.68,71
47,71.7,64.5,M,70.5,4,70.68,70.5
47,71.7,64.5,F,67,4,70.68,72.36
48,71,64,M,68,3,70.06,68
48,71,64,M,68,3,70.06,68
48,71,64,M,68,3,70.06,68
49,71.5,64.5,M,72,7,70.58,72
49,71.5,64.5,M,71,7,70.58,71
49,71.5,64.5,M,70,7,70.58,70
49,71.5,64.5,F,66,7,70.58,71.28
49,71.5,64.5,F,64.5,7,70.58,69.66
49,71.5,64.5,F,64.5,7,70.58,69.66
49,71.5,64.5,F,62,7,70.58,66.96
51,71.2,63,F,67.5,2,69.62,72.9
51,71.2,63,F,64.5,2,69.62,69.66
52,71,63.5,M,71,5,69.79,71
52,71,63.5,M,67,5,69.79,67
52,71,63.5,F,66,5,69.79,71.28
52,71,63.5,F,65,5,69.79,70.2
52,71,63.5,F,63.5,5,69.79,68.58
53,71,63,M,71,9,69.52,71
53,71,63,M,70,9,69.52,70
53,71,63,M,70,9,69.52,70
53,71,63,M,64,9,69.52,64
53,71,63,F,65,9,69.52,70.2
53,71,63,F,65,9,69.52,70.2
53,71,63,F,64,9,69.52,69.12
53,71,63,F,63,9,69.52,68.04
53,71,63,F,63,9,69.52,68.04
54,71,63,M,71,4,69.52,71
54,71,63,M,71,4,69.52,71
54,71,63,M,70,4,69.52,70
54,71,63,F,63.5,4,69.52,68.58
55,71,62,M,71,5,68.98,71
55,71,62,M,70,5,68.98,70
55,71,62,F,64.5,5,68.98,69.66
55,71,62,F,62.5,5,68.98,67.5
55,71,62,F,61.5,5,68.98,66.42
56,71,62,M,72,5,68.98,72
56,71,62,M,70.5,5,68.98,70.5
56,71,62,M,70.5,5,68.98,70.5
56,71,62,F,64.5,5,68.98,69.66
56,71,62,F,60,5,68.98,64.8
57,71,62.5,M,70,5,69.25,70
57,71,62.5,F,64,5,69.25,69.12
57,71,62.5,F,64,5,69.25,69.12
57,71,62.5,F,64,5,69.25,69.12
57,71,62.5,F,62.5,5,69.25,67.5
58,71,62,M,70.5,7,68.98,70.5
58,71,62,M,70,7,68.98,70
58,71,62,M,69,7,68.98,69
58,71,62,M,69,7,68.98,69
58,71,62,M,66,7,68.98,66
58,71,62,F,64.5,7,68.98,69.66
58,71,62,F,64,7,68.98,69.12
59,71,61,F,62,1,68.44,66.96
60,71,58,M,71.5,2,66.82,71.5
60,71,58,M,69,2,66.82,69
61,70,69,M,71,4,72.26,71
61,70,69,M,70,4,72.26,70
61,70,69,M,69,4,72.26,69
61,70,69,F,69,4,72.26,74.52
62,70,69,M,70,6,72.26,70
62,70,69,M,68.7,6,72.26,68.7
62,70,69,F,68,6,72.26,73.44
62,70,69,F,66,6,72.26,71.28
62,70,69,F,64,6,72.26,69.12
62,70,69,F,62,6,72.26,66.96
63,70,68,M,75,1,71.72,75
64,70,67,M,70,5,71.18,70
64,70,67,M,69,5,71.18,69
64,70,67,F,66,5,71.18,71.28
64,70,67,F,64,5,71.18,69.12
64,70,67,F,60,5,71.18,64.8
65,70,67,F,67.5,1,71.18,72.9
66,70,66.5,M,73,11,70.91,73
66,70,66.5,M,72,11,70.91,72
66,70,66.5,M,72,11,70.91,72
66,70,66.5,M,66.5,11,70.91,66.5
66,70,66.5,F,69.2,11,70.91,74.736
66,70,66.5,F,67.2,11,70.91,72.576
66,70,66.5,F,66.5,11,70.91,71.82
66,70,66.5,F,66,11,70.91,71.28
66,70,66.5,F,66,11,70.91,71.28
66,70,66.5,F,64.2,11,70.91,69.336
66,70,66.5,F,63.7,11,70.91,68.796
67,70.5,65,M,72,4,70.35,72
67,70.5,65,M,70.2,4,70.35,70.2
67,70.5,65,M,69,4,70.35,69
67,70.5,65,M,68.5,4,70.35,68.5
68,70.5,65,F,68,5,70.35,73.44
68,70.5,65,F,65,5,70.35,70.2
68,70.5,65,F,61.5,5,70.35,66.42
68,70.5,65,F,61,5,70.35,65.88
68,70.5,65,F,61,5,70.35,65.88
69,70,65,M,73,8,70.1,73
69,70,65,M,72,8,70.1,72
69,70,65,M,70.5,8,70.1,70.5
69,70,65,M,65,8,70.1,65
69,70,65,M,65,8,70.1,65
69,70,65,F,64.5,8,70.1,69.66
69,70,65,F,63,8,70.1,68.04
69,70,65,F,62,8,70.1,66.96
70,70,65,M,67,5,70.1,67
70,70,65,M,65,5,70.1,65
70,70,65,F,64.5,5,70.1,69.66
70,70,65,F,62.5,5,70.1,67.5
70,70,65,F,62.5,5,70.1,67.5
71,70,65,M,70,6,70.1,70
71,70,65,M,70,6,70.1,70
71,70,65,F,67,6,70.1,72.36
71,70,65,F,65,6,70.1,70.2
71,70,65,F,65,6,70.1,70.2
71,70,65,F,63,6,70.1,68.04
72,70,65,M,79,7,70.1,79
72,70,65,M,75,7,70.1,75
72,70,65,M,71,7,70.1,71
72,70,65,F,69,7,70.1,74.52
72,70,65,F,67,7,70.1,72.36
72,70,65,F,65.7,7,70.1,70.956
72,70,65,F,62,7,70.1,66.96
73,70,65,M,73,3,70.1,73
73,70,65,M,72.5,3,70.1,72.5
73,70,65,F,65,3,70.1,70.2
74,70,65,M,69,2,70.1,69
74,70,65,M,69,2,70.1,69
75,70,64.7,M,72,7,69.938,72
75,70,64.7,M,70,7,69.938,70
75,70,64.7,M,68.7,7,69.938,68.7
75,70,64.7,F,66.5,7,69.938,71.82
75,70,64.7,F,65.5,7,69.938,70.74
75,70,64.7,F,64.7,7,69.938,69.876
75,70,64.7,F,64.5,7,69.938,69.66
76,70,64,M,70.7,7,69.56,70.7
76,70,64,M,70,7,69.56,70
76,70,64,M,68,7,69.56,68
76,70,64,M,67,7,69.56,67
76,70,64,M,66,7,69.56,66
76,70,64,M,65,7,69.56,65
76,70,64,F,67,7,69.56,72.36
77,70,64,M,70,4,69.56,70
77,70,64,M,68,4,69.56,68
77,70,64,M,66.7,4,69.56,66.7
77,70,64,F,65.5,4,69.56,70.74
78,70,64.2,M,72,5,69.668,72
78,70,64.2,M,70,5,69.668,70
78,70,64.2,F,62.5,5,69.668,67.5
78,70,64.2,F,61.2,5,69.668,66.096
78,70,64.2,F,60.1,5,69.668,64.908
79,70.5,64,M,74,8,69.81,74
79,70.5,64,M,69.5,8,69.81,69.5
79,70.5,64,M,69,8,69.81,69
79,70.5,64,M,68,8,69.81,68
79,70.5,64,M,68,8,69.81,68
79,70.5,64,M,68,8,69.81,68
79,70.5,64,F,65.5,8,69.81,70.74
79,70.5,64,F,65,8,69.81,70.2
80,70.5,64.5,F,60,1,70.08,64.8
81,70,64,M,68,4,69.56,68
81,70,64,F,65,4,69.56,70.2
81,70,64,F,64,4,69.56,69.12
81,70,64,F,62,4,69.56,66.96
82,70,64,M,71,9,69.56,71
82,70,64,M,70,9,69.56,70
82,70,64,M,70,9,69.56,70
82,70,64,M,70,9,69.56,70
82,70,64,M,69.5,9,69.56,69.5
82,70,64,M,68.5,9,69.56,68.5
82,70,64,F,69,9,69.56,74.52
82,70,64,F,65,9,69.56,70.2
82,70,64,F,64,9,69.56,69.12
83,70,63.7,M,70,8,69.398,70
83,70,63.7,M,67,8,69.398,67
83,70,63.7,M,65.5,8,69.398,65.5
83,70,63.7,F,63.7,8,69.398,68.796
83,70,63.7,F,63.2,8,69.398,68.256
83,70,63.7,F,62.5,8,69.398,67.5
83,70,63.7,F,62.2,8,69.398,67.176
83,70,63.7,F,61,8,69.398,65.88
85,70.5,63,M,72.5,5,69.27,72.5
85,70.5,63,M,69,5,69.27,69
85,70.5,63,M,67,5,69.27,67
85,70.5,63,F,64.5,5,69.27,69.66
85,70.5,63,F,64,5,69.27,69.12
86,70,63.5,M,71,4,69.29,71
86,70,63.5,M,67.5,4,69.29,67.5
86,70,63.5,F,67.5,4,69.29,72.9
86,70,63.5,F,63.5,4,69.29,68.58
87,70,63,M,68,4,69.02,68
87,70,63,M,67,4,69.02,67
87,70,63,F,63.7,4,69.02,68.796
87,70,63,F,62,4,69.02,66.96
88,70,63,M,70,4,69.02,70
88,70,63,M,66.5,4,69.02,66.5
88,70,63,F,62,4,69.02,66.96
88,70,63,F,61,4,69.02,65.88
89,70.5,62,M,72,8,68.73,72
89,70.5,62,M,70,8,68.73,70
89,70.5,62,M,69.5,8,68.73,69.5
89,70.5,62,M,69.5,8,68.73,69.5
89,70.5,62,M,68,8,68.73,68
89,70.5,62,F,65,8,68.73,70.2
89,70.5,62,F,64,8,68.73,69.12
89,70.5,62,F,63,8,68.73,68.04
90,70.3,62.7,M,70.7,7,69.008,70.7
90,70.3,62.7,M,69.7,7,69.008,69.7
90,70.3,62.7,M,69.2,7,69.008,69.2
90,70.3,62.7,M,65.2,7,69.008,65.2
90,70.3,62.7,F,64,7,69.008,69.12
90,70.3,62.7,F,63.5,7,69.008,68.58
90,70.3,62.7,F,63.2,7,69.008,68.256
91,70.5,62,M,72,3,68.73,72
91,70.5,62,M,72,3,68.73,72
91,70.5,62,F,60,3,68.73,64.8
92,70,61,M,71.2,2,67.94,71.2
92,70,61,M,67,2,67.94,67
93,70,60,M,67,4,67.4,67
93,70,60,M,64.5,4,67.4,64.5
93,70,60,F,65,4,67.4,70.2
93,70,60,F,63,4,67.4,68.04
94,70,60,F,65,2,67.4,70.2
94,70,60,F,65,2,67.4,70.2
95,70,58.5,M,71.5,3,66.59,71.5
95,70,58.5,M,64.5,3,66.59,64.5
95,70,58.5,F,63,3,66.59,68.04
96,70,58,M,72,5,66.32,72
96,70,58,M,66,5,66.32,66
96,70,58,F,66,5,66.32,71.28
96,70,58,F,65,5,66.32,70.2
96,70,58,F,63,5,66.32,68.04
97,69,68.5,M,75,10,71.49,75
97,69,68.5,M,71,10,71.49,71
97,69,68.5,M,70,10,71.49,70
97,69,68.5,F,66,10,71.49,71.28
97,69,68.5,F,66,10,71.49,71.28
97,69,68.5,F,65.5,10,71.49,70.74
97,69,68.5,F,65,10,71.49,70.2
97,69,68.5,F,65,10,71.49,70.2
97,69,68.5,F,64,10,71.49,69.12
97,69,68.5,F,64,10,71.49,69.12
98,69,67,F,64,1,70.68,69.12
99,69,66,M,73,8,70.14,73
99,69,66,M,72,8,70.14,72
99,69,66,M,71.7,8,70.14,71.7
99,69,66,M,71.5,8,70.14,71.5
99,69,66,F,65.5,8,70.14,70.74
99,69,66,F,65,8,70.14,70.2
99,69,66,F,62.7,8,70.14,67.716
99,69,66,F,62.5,8,70.14,67.5
100,69,66,M,71.2,3,70.14,71.2
100,69,66,M,71,3,70.14,71
100,69,66,M,70,3,70.14,70
101,69,66.7,M,75,6,70.518,75
101,69,66.7,M,74,6,70.518,74
101,69,66.7,M,72,6,70.518,72
101,69,66.7,M,68.5,6,70.518,68.5
101,69,66.7,M,67,6,70.518,67
101,69,66.7,M,66,6,70.518,66
102,69,66,M,70,6,70.14,70
102,69,66,M,68.5,6,70.14,68.5
102,69,66,M,68,6,70.14,68
102,69,66,F,65,6,70.14,70.2
102,69,66,F,63,6,70.14,68.04
102,69,66,F,62.5,6,70.14,67.5
103,69,66.5,M,73,5,70.41,73
103,69,66.5,M,71,5,70.41,71
103,69,66.5,M,70.5,5,70.41,70.5
103,69,66.5,M,70.5,5,70.41,70.5
103,69,66.5,F,61,5,70.41,65.88
104,69.5,66.5,M,70.5,4,70.66,70.5
104,69.5,66.5,M,67.5,4,70.66,67.5
104,69.5,66.5,F,64.5,4,70.66,69.66
104,69.5,66.5,F,64,4,70.66,69.12
105,69,66.5,M,71,6,70.41,71
105,69,66.5,F,68.5,6,70.41,73.98
105,69,66.5,F,67.5,6,70.41,72.9
105,69,66.5,F,66,6,70.41,71.28
105,69,66.5,F,63,6,70.41,68.04
105,69,66.5,F,63,6,70.41,68.04
106,69.5,66,M,71,7,70.39,71
106,69.5,66,M,71,7,70.39,71
106,69.5,66,M,70.5,7,70.39,70.5
106,69.5,66,M,70.5,7,70.39,70.5
106,69.5,66,F,66.5,7,70.39,71.82
106,69.5,66,F,65.5,7,70.39,70.74
106,69.5,66,F,64.5,7,70.39,69.66
107,69,66,M,73,9,70.14,73
107,69,66,M,72,9,70.14,72
107,69,66,M,69,9,70.14,69
107,69,66,M,69,9,70.14,69
107,69,66,F,66.5,9,70.14,71.82
107,69,66,F,65.5,9,70.14,70.74
107,69,66,F,65.5,9,70.14,70.74
107,69,66,F,65,9,70.14,70.2
107,69,66,F,64,9,70.14,69.12
108,69,65,M,70,7,69.6,70
108,69,65,M,68.5,7,69.6,68.5
108,69,65,M,67,7,69.6,67
108,69,65,F,65,7,69.6,70.2
108,69,65,F,64,7,69.6,69.12
108,69,65,F,63.5,7,69.6,68.58
108,69,65,F,61,7,69.6,65.88
109,69.5,64.5,M,69.7,7,69.58,69.7
109,69.5,64.5,M,68,7,69.58,68
109,69.5,64.5,M,60,7,69.58,60
109,69.5,64.5,F,65.2,7,69.58,70.416
109,69.5,64.5,F,64.5,7,69.58,69.66
109,69.5,64.5,F,63.7,7,69.58,68.796
109,69.5,64.5,F,60,7,69.58,64.8
110,69.2,64,M,71.7,4,69.16,71.7
110,69.2,64,M,66.5,4,69.16,66.5
110,69.2,64,F,65,4,69.16,70.2
110,69.2,64,F,63.5,4,69.16,68.58
112,69,63,M,69,3,68.52,69
112,69,63,F,67.5,3,68.52,72.9
112,69,63,F,63.5,3,68.52,68.58
113,69,63,M,72,1,68.52,72
114,69,63,M,73,6,68.52,73
114,69,63,M,70,6,68.52,70
114,69,63,M,70,6,68.52,70
114,69,63,M,64,6,68.52,64
114,69,63,F,66,6,68.52,71.28
114,69,63,F,62,6,68.52,66.96
115,69,63.5,M,70.5,7,68.79,70.5
115,69,63.5,M,67,7,68.79,67
115,69,63.5,M,66,7,68.79,66
115,69,63.5,F,65,7,68.79,70.2
115,69,63.5,F,63,7,68.79,68.04
115,69,63.5,F,62,7,68.79,66.96
115,69,63.5,F,61,7,68.79,65.88
116,69,63.5,M,70.5,3,68.79,70.5
116,69,63.5,F,63.7,3,68.79,68.796
116,69,63.5,F,63,3,68.79,68.04
117,69.7,62,F,62.5,1,68.33,67.5
118,69.5,62,M,73,3,68.23,73
118,69.5,62,M,72,3,68.23,72
118,69.5,62,M,69,3,68.23,69
119,69,62,M,73,5,67.98,73
119,69,62,M,71,5,67.98,71
119,69,62,M,71,5,67.98,71
119,69,62,M,69,5,67.98,69
119,69,62,F,63,5,67.98,68.04
121,69,62.5,M,71,8,68.25,71
121,69,62.5,M,70,8,68.25,70
121,69,62.5,M,70,8,68.25,70
121,69,62.5,M,69,8,68.25,69
121,69,62.5,F,63.5,8,68.25,68.58
121,69,62.5,F,62.5,8,68.25,67.5
121,69,62.5,F,62.5,8,68.25,67.5
121,69,62.5,F,62,8,68.25,66.96
122,69,62,M,72,4,67.98,72
122,69,62,M,68,4,67.98,68
122,69,62,F,66,4,67.98,71.28
122,69,62,F,66,4,67.98,71.28
123,69.5,61,M,70,5,67.69,70
123,69.5,61,M,69.5,5,67.69,69.5
123,69.5,61,M,69,5,67.69,69
123,69.5,61,F,63,5,67.69,68.04
123,69.5,61,F,62,5,67.69,66.96
124,69,61,M,68,9,67.44,68
124,69,61,M,68,9,67.44,68
124,69,61,M,67.5,9,67.44,67.5
124,69,61,M,64,9,67.44,64
124,69,61,M,63,9,67.44,63
124,69,61,M,63,9,67.44,63
124,69,61,F,63.5,9,67.44,68.58
124,69,61,F,62,9,67.44,66.96
124,69,61,F,62,9,67.44,66.96
125,69,60,M,70.5,3,66.9,70.5
125,69,60,F,68,3,66.9,73.44
125,69,60,F,62.5,3,66.9,67.5
126,69,60,M,69,4,66.9,69
126,69,60,M,66,4,66.9,66
126,69,60,F,61.7,4,66.9,66.636
126,69,60,F,60.5,4,66.9,65.34
127,69,60.5,M,69.5,1,67.17,69.5
128,68.7,70.5,M,71,2,72.42,71
128,68.7,70.5,F,61.7,2,72.42,66.636
129,68.5,67,M,73,3,70.43,73
129,68.5,67,M,71,3,70.43,71
129,68.5,67,F,67,3,70.43,72.36
130,68.5,66.5,M,70,11,70.16,70
130,68.5,66.5,M,69,11,70.16,69
130,68.5,66.5,M,69,11,70.16,69
130,68.5,66.5,M,68.7,11,70.16,68.7
130,68.5,66.5,M,68.5,11,70.16,68.5
130,68.5,66.5,M,68.5,11,70.16,68.5
130,68.5,66.5,M,68,11,70.16,68
130,68.5,66.5,M,68,11,70.16,68
130,68.5,66.5,M,68,11,70.16,68
130,68.5,66.5,F,63.2,11,70.16,68.256
131,68,65,M,67.5,2,69.1,67.5
131,68,65,M,66,2,69.1,66
132,68,65.5,M,66,2,69.37,66
132,68,65.5,F,64,2,69.37,69.12
133,68,65.5,M,71.7,7,69.37,71.7
133,68,65.5,M,71.5,7,69.37,71.5
133,68,65.5,M,70.7,7,69.37,70.7
133,68,65.5,M,65.5,7,69.37,65.5
133,68,65.5,F,66.5,7,69.37,71.82
133,68,65.5,F,65.2,7,69.37,70.416
133,68,65.5,F,61.5,7,69.37,66.42
134,68,65,M,72,4,69.1,72
134,68,65,M,72,4,69.1,72
134,68,65,F,68,4,69.1,73.44
134,68,65,F,66,4,69.1,71.28
135,68.5,65,M,69.2,8,69.35,69.2
135,68.5,65,M,68,8,69.35,68
135,68.5,65,M,66,8,69.35,66
135,68.5,65,M,66,8,69.35,66
135,68.5,65,F,62,8,69.35,66.96
135,68.5,65,F,61.5,8,69.35,66.42
135,68.5,65,F,61,8,69.35,65.88
135,68.5,65,F,60,8,69.35,64.8
136,68,64,M,71,10,68.56,71
136,68,64,M,68,10,68.56,68
136,68,64,M,68,10,68.56,68
136,68,64,M,67,10,68.56,67
136,68,64,F,65,10,68.56,70.2
136,68,64,F,64,10,68.56,69.12
136,68,64,F,63,10,68.56,68.04
136,68,64,F,63,10,68.56,68.04
136,68,64,F,62,10,68.56,66.96
136,68,64,F,61,10,68.56,65.88
137,68,64,M,66,4,68.56,66
137,68,64,M,63,4,68.56,63
137,68,64,F,65.5,4,68.56,70.74
137,68,64,F,62,4,68.56,66.96
138,68,64,M,71.2,5,68.56,71.2
138,68,64,M,71.2,5,68.56,71.2
138,68,64,M,69,5,68.56,69
138,68,64,M,68.5,5,68.56,68.5
138,68,64,F,62.5,5,68.56,67.5
139,68,64.5,F,62,1,68.83,66.96
140,68,64,M,69,10,68.56,69
140,68,64,M,67,10,68.56,67
140,68,64,M,66,10,68.56,66
140,68,64,F,66,10,68.56,71.28
140,68,64,F,66,10,68.56,71.28
140,68,64,F,65,10,68.56,70.2
140,68,64,F,65,10,68.56,70.2
140,68,64,F,65,10,68.56,70.2
140,68,64,F,64,10,68.56,69.12
140,68,64,F,63,10,68.56,68.04
141,68,63,M,70.5,8,68.02,70.5
141,68,63,M,70,8,68.02,70
141,68,63,M,68,8,68.02,68
141,68,63,M,66,8,68.02,66
141,68,63,M,66,8,68.02,66
141,68,63,F,66,8,68.02,71.28
141,68,63,F,62,8,68.02,66.96
141,68,63,F,61.5,8,68.02,66.42
142,68.5,63.5,M,73.5,4,68.54,73.5
142,68.5,63.5,M,70,4,68.54,70
142,68.5,63.5,M,69.5,4,68.54,69.5
142,68.5,63.5,F,65.5,4,68.54,70.74
143,68,63,M,67,1,68.02,67
144,68,63,M,70,4,68.02,70
144,68,63,M,68,4,68.02,68
144,68,63,F,64.5,4,68.02,69.66
144,68,63,F,64,4,68.02,69.12
145,68,63,M,71,8,68.02,71
145,68,63,M,68,8,68.02,68
145,68,63,M,66,8,68.02,66
145,68,63,M,65.5,8,68.02,65.5
145,68,63,M,65,8,68.02,65
145,68,63,F,63,8,68.02,68.04
145,68,63,F,62,8,68.02,66.96
145,68,63,F,62,8,68.02,66.96
146,68,63,M,67,6,68.02,67
146,68,63,M,67,6,68.02,67
146,68,63,M,66,6,68.02,66
146,68,63,F,64,6,68.02,69.12
146,68,63,F,63.5,6,68.02,68.58
146,68,63,F,61,6,68.02,65.88
147,68.5,63.5,M,68.2,1,68.54,68.2
148,68,63,M,70,1,68.02,70
149,68.2,63.5,M,70,5,68.39,70
149,68.2,63.5,M,69,5,68.39,69
149,68.2,63.5,M,67,5,68.39,67
149,68.2,63.5,M,65.5,5,68.39,65.5
149,68.2,63.5,F,64.5,5,68.39,69.66
150,68,62.5,M,68.5,1,67.75,68.5
151,68.7,62,M,67.7,2,67.83,67.7
151,68.7,62,F,61.7,2,67.83,66.636
152,68,62.5,M,66.5,1,67.75,66.5
153,68,61,M,68.5,5,66.94,68.5
153,68,61,M,68,5,66.94,68
153,68,61,M,64,5,66.94,64
153,68,61,F,63.5,5,66.94,68.58
